Date,Ken,Jyutaku,Akiya
1978,hokkaido,1744500,118100
1983,hokkaido,1923800,166500
1988,hokkaido,2092500,220300
1993,hokkaido,2258800,230400
1998,hokkaido,2433300,273400
2003,hokkaido,2572200,303800
2008,hokkaido,2730500,374400
2013,hokkaido,2746600,388200
2018,hokkaido,2807200,379800
1978,aomori,411400,21200
1983,aomori,444900,31000
1988,aomori,479400,44200
1993,aomori,499300,51000
1998,aomori,534300,58500
2003,aomori,559200,70100
2008,aomori,580800,84700
2013,aomori,586300,81200
2018,aomori,592400,88700
1978,iwate,384300,19400
1983,iwate,413500,29200
1988,iwate,434900,38000
1993,iwate,463400,40200
1998,iwate,502800,51100
2003,iwate,527900,60800
2008,iwate,549500,77300
2013,iwate,552100,76300
2018,iwate,579300,93500
1978,miyagi,578700,33100
1983,miyagi,632700,42800
1988,miyagi,700800,55800
1993,miyagi,791000,72600
1998,miyagi,886100,98600
2003,miyagi,942300,106300
2008,miyagi,1013900,138400
2013,miyagi,1034100,96900
2018,miyagi,1089300,130500
1978,akita,338100,16100
1983,akita,353600,21500
1988,akita,369400,27800
1993,akita,383400,29300
1998,akita,413300,37200
2003,akita,428600,44200
2008,akita,437400,55300
2013,akita,446900,56600
2018,akita,445700,60800
1978,yamagata,318000,14100
1983,yamagata,333900,18700
1988,yamagata,345600,18300
1993,yamagata,360700,20700
1998,yamagata,394200,27800
2003,yamagata,415000,40000
2008,yamagata,432700,47500
2013,yamagata,431900,46100
2018,yamagata,449000,54200
1978,fukushima,539100,28400
1983,fukushima,578000,36800
1988,fukushima,624700,51400
1993,fukushima,668100,53500
1998,fukushima,728200,72000
2003,fukushima,781800,96200
2008,fukushima,808200,105000
2013,fukushima,782300,91800
2018,fukushima,861300,123500
1978,ibaraki,664000,42900
1983,ibaraki,763800,52800
1988,ibaraki,842200,74000
1993,ibaraki,949300,92600
1998,ibaraki,1064800,129400
2003,ibaraki,1135900,146700
2008,ibaraki,1223800,178400
2013,ibaraki,1268200,184700
2018,ibaraki,1328900,197200
1978,tochigi,488000,36100
1983,tochigi,531200,41900
1988,tochigi,583700,54300
1993,tochigi,657400,69700
1998,tochigi,725400,88600
2003,tochigi,769700,103700
2008,tochigi,839900,126300
2013,tochigi,879000,143400
2018,tochigi,926700,160700
1978,gumma,513900,34800
1983,gumma,564400,42300
1988,gumma,619300,58200
1993,gumma,688900,73800
1998,gumma,756000,92600
2003,gumma,798700,108900
2008,gumma,855800,123100
2013,gumma,902900,150100
2018,gumma,949000,158300
1978,saitama,1554500,118500
1983,saitama,1754400,138900
1988,saitama,2022100,157900
1993,saitama,2333000,197900
1998,saitama,2595800,257400
2003,saitama,2826600,273100
2008,saitama,3029000,322600
2013,saitama,3266300,355000
2018,saitama,3384700,346200
1978,chiba,1375500,119900
1983,chiba,1587800,154400
1988,chiba,1776500,159800
1993,chiba,2048600,203900
1998,chiba,2321100,294700
2003,chiba,2526200,321900
2008,chiba,2717700,355900
2013,chiba,2896200,367200
2018,chiba,3029800,382500
1978,tokyo,4239200,341800
1983,tokyo,4528200,395200
1988,tokyo,4817600,411100
1993,tokyo,5299500,527100
1998,tokyo,5669500,624400
2003,tokyo,6186000,665400
2008,tokyo,6780500,750300
2013,tokyo,7359400,817100
2018,tokyo,7671600,809900
1978,kanagawa,2133500,154200
1983,kanagawa,2374200,182300
1988,kanagawa,2702800,195700
1993,kanagawa,3073600,271200
1998,kanagawa,3409100,349100
2003,kanagawa,3752000,391600
2008,kanagawa,4067800,428600
2013,kanagawa,4350800,486700
2018,kanagawa,4503500,484700
1978,niigata,636100,32500
1983,niigata,690900,43500
1988,niigata,726700,57100
1993,niigata,777300,60900
1998,niigata,843500,76000
2003,niigata,888000,92100
2008,niigata,929700,112800
2013,niigata,972300,132000
2018,niigata,994500,146200
1978,toyama,289800,16100
1983,toyama,302100,20000
1988,toyama,317300,22600
1993,toyama,349300,27000
1998,toyama,379100,37100
2003,toyama,407700,47300
2008,toyama,424300,52200
2013,toyama,439000,56200
2018,toyama,452600,60000
1978,ishikawa,310700,23000
1983,ishikawa,341400,26500
1988,ishikawa,368400,33300
1993,ishikawa,400900,37500
1998,ishikawa,441000,47600
2003,ishikawa,470500,63500
2008,ishikawa,498000,72700
2013,ishikawa,520400,76900
2018,ishikawa,535800,77800
1978,fukui,210600,13600
1983,fukui,221800,16200
1988,fukui,237700,19100
1993,fukui,250900,20600
1998,fukui,274800,28100
2003,fukui,293000,38300
2008,fukui,308700,46700
2013,fukui,309600,43000
2018,fukui,325400,45000
1978,yamanashi,229600,14000
1983,yamanashi,252700,24700
1988,yamanashi,277500,35100
1993,yamanashi,313700,41200
1998,yamanashi,353800,52300
2003,yamanashi,380300,73600
2008,yamanashi,398300,80900
2013,yamanashi,422100,92900
2018,yamanashi,422000,90000
1978,nagano,596900,47300
1983,nagano,647400,72600
1988,nagano,697500,83000
1993,nagano,749900,94700
1998,nagano,850400,129800
2003,nagano,890800,148900
2008,nagano,946300,183000
2013,nagano,982200,194000
2018,nagano,1007900,197300
1978,gifu,535300,38400
1983,gifu,577600,48600
1988,gifu,617700,55900
1993,gifu,671900,62000
1998,gifu,741100,84800
2003,gifu,782900,101900
2008,gifu,835700,117900
2013,gifu,878400,133400
2018,gifu,893900,139800
1978,shizuoka,970300,80100
1983,shizuoka,1050600,94000
1988,shizuoka,1145300,108900
1993,shizuoka,1248000,121200
1998,shizuoka,1388100,165700
