"Entity","Code","Confirmed","GDP","Continent"
"Afghanistan","AFG",29.521,1803.98748708124,"Asia"
"Albania","ALB",230.775,11803.4305936025,"Europe"
"Algeria","DZA",67.396,13913.8393634819,"Africa"
"Angola","AGO",0.737,5819.49497145261,"Africa"
"Antigua and Barbuda","ATG",243.092,21490.9426586166,"North America"
"Argentina","ARG",75.319,18933.9071474396,"South America"
"Armenia","ARM",513.118,8787.57993972036,"Asia"
"Aruba","ABW",932.879,35973.780509792,"North America"
"Australia","AUS",258.335,44648.7099113362,"Oceania"
"Austria","AUT",1658.95,45436.6858219914,"Europe"
"Azerbaijan","AZE",151.418,15847.4188327529,"Asia"
"Bahamas","BHS",181.399,27717.8472975209,"North America"
"Bahrain","BHR",1268.093,43290.7045180745,"Asia"
"Bangladesh","BGD",25.171,3523.98385062592,"Asia"
"Barbados","BRB",264.157,16978.0676859393,"North America"
"Belarus","BLR",849.53,17167.9672600246,"Europe"
"Belgium","BEL",3679.141,42658.57617009,"Europe"
"Belize","BLZ",44.454,7824.36245892342,"North America"
"Benin","BEN",4.337,2064.23633398033,"Africa"
"Bermuda","BMU",1594.408,50669.3147696996,"North America"
"Bhutan","BTN",8.976,8708.59712072611,"Asia"
"Bolivia","BOL",59.41,6885.82857742035,"South America"
"Bosnia and Herzegovina","BIH",432.976,11713.8947839235,"Europe"
"Botswana","BWA",9.177,15807.3735945626,"Africa"
"Brazil","BRA",233.82,14103.4515313404,"South America"
"Brunei","BRN",312.548,71809.250580867,"Asia"
"Bulgaria","BGR",159.063,18563.3066168958,"Europe"
"Burkina Faso","BFA",28.655,1703.10162867752,"Africa"
"Burundi","BDI",0.898,702.2253130438,"Africa"
"Cambodia","KHM",7.199,3645.06952060093,"Asia"
"Cameroon","CMR",49,3364.92605635113,"Africa"
"Canada","CAN",1215.564,44017.5909063335,"North America"
"Cape Verde","CPV",145.933,6222.55416600772,"Africa"
"Cayman Islands","CYM",992.511,49903.0285395752,"North America"
"Central African Republic","CAF",3.252,661.239967689311,"Africa"
"Chad","TCD",1.951,1768.15341090621,"Africa"
"Chile","CHL",659.992,22767.0371912423,"South America"
"China","CHN",59.18,15308.712122905,"Asia"
"Colombia","COL",88.968,13254.9492184779,"South America"
"Congo","COG",32.88,4881.40574395234,"Africa"
"Costa Rica","CRI",133.488,15524.9945630542,"North America"
"Cote d'Ivoire","CIV",37.111,3601.00590113374,"Africa"
"Croatia","HRV",485.342,22669.796546633,"Europe"
"Cyprus","CYP",881.692,32415.1322300794,"Europe"
"Czechia","CZE",670.144,32605.9063265661,"Europe"
"Democratic Republic of Congo","COD",4.081,808.133213366763,"Africa"
"Denmark","DNK",1388.712,46682.5147204669,"Europe"
