時点,地域,総人口,出生数,転入者数,転出者数,商業年間商品販売額,住宅数,空き家数,延べ宿泊者数,警察官数,刑法犯認知件数
1975年,栃木県,1698003,,,,2171289,,,,2231,16575
1976年,栃木県,1717000,,,,,,,,2268,15308
1977年,栃木県,1736000,,,,,,,,2286,13708
1978年,栃木県,1753000,,,,2842043,488000,36100,,2355,15236
1979年,栃木県,1775000,,,,,,,,2401,13500
1980年,栃木県,1792201,,,,,,,,2430,14447
1981年,栃木県,1807000,,,,3962782,,,,2436,16812
1982年,栃木県,1822000,,,,,,,,2458,17301
1983年,栃木県,1835000,,,,,531200,41900,,2506,16860
1984年,栃木県,1850000,,,,4403179,,,,2521,17582
1985年,栃木県,1866066,,,,,,,,2523,18403
1986年,栃木県,1880000,,,,,,,,2528,18924
1987年,栃木県,1895000,,,,5318274,,,,2535,17825
1988年,栃木県,1908000,,,,,583700,54300,,2553,17269
1989年,栃木県,1921000,,,,,,,,2570,18595
1990年,栃木県,1935168,,,,6638527,,,,2592,19723
1991年,栃木県,1948000,,,,,,,,2601,21873
1992年,栃木県,1959000,,,,,,,,2576,22530
1993年,栃木県,1969000,,,,5883681,657400,69700,,2589,25329
1994年,栃木県,1977000,,,,,,,,2592,25078
1995年,栃木県,1984390,18662,,,,,,,2588,26357
1996年,栃木県,1991000,19112,,,6143159,,,,2599,27795
1997年,栃木県,1996000,18642,,,,,,,2689,27733
1998年,栃木県,2001000,18836,,,6055821,725400,88600,,2706,28620
1999年,栃木県,2003000,18485,,,,,,,2713,31996
2000年,栃木県,2004817,18976,,,,,,,2731,33819
2001年,栃木県,2011000,18911,,,5646460,,,,2739,36321
2002年,栃木県,2012000,18376,,,,,,,2862,39061
2003年,栃木県,2014000,18122,,,5472396,769700,103700,,2950,40469
2004年,栃木県,2016000,17816,,,,,,,3043,37943
2005年,栃木県,2016631,17363,,,,,,,3107,33380
2006年,栃木県,2016000,17647,,,5650308,,,,3149,33059
2007年,栃木県,2016000,17233,,,,,,6966530,3223,30358
2008年,栃木県,2015000,17240,,,,839900,126300,6584740,3256,28550
2009年,栃木県,2011000,17004,,,,,,6561990,3330,25990
2010年,栃木県,2007683,16473,,,,,,8254430,3313,23500
2011年,栃木県,2000000,15913,,,4901531,,,8695920,3305,23067
2012年,栃木県,1992000,15973,,,,,,9762230,3315,20369
2013年,栃木県,1986000,15588,,,4565416,879000,143400,9717140,3330,18924
2014年,栃木県,1980000,15442,34235,36235,,,,9582340,3329,16345
2015年,栃木県,1974255,15306,34885,38607,5825480,,,10288850,3371,14630
2016年,栃木県,1969000,14621,34128,39387,,,,10316840,3396,13253
2017年,栃木県,1962000,14029,35784,40426,,,,10224250,3432,12767
2018年,栃木県,1953000,13495,35819,41493,5032884,926700,160700,9469560,3460,11346
2019年,栃木県,1943000,12608,36313,42088,,,,9559870,3463,11155
2020年,栃木県,1933146,11808,35512,37374,,,,6477140,3460,
2021年,栃木県,1921000,11474,,,,,,6770210,,
