Date,Ken,Pop,Birth
2000,aichi,7043300,10.8
2000,akita,1189279,7.6
2000,aomori,1475728,8.8
2000,chiba,5926285,9.4
2000,ehime,1493092,8.9
2000,fukui,828944,9.8
2000,fukuoka,5015699,9.5
2000,fukushima,2126935,9.6
2000,gifu,2107700,9.7
2000,gumma,2024852,9.7
2000,hiroshima,2878915,9.6
2000,hokkaido,5683062,8.2
2000,hyogo,5550574,10.0
2000,ibaraki,2985676,9.6
2000,ishikawa,1180977,9.8
2000,iwate,1416180,8.8
2000,kagawa,1022890,9.6
2000,kagoshima,1786194,9.1
2000,kanagawa,8489974,9.9
2000,kochi,813949,8.4
2000,kumamoto,1859344,9.3
2000,kyoto,2644391,9.2
2000,mie,1857339,9.7
2000,miyagi,2365320,9.4
2000,miyazaki,1170007,9.5
2000,nagano,2215168,9.7
2000,nagasaki,1516523,9.3
2000,nara,1442795,9.3
2000,niigata,2475733,8.9
2000,oita,1221140,9.0
2000,okayama,1950828,9.8
2000,okinawa,1318220,12.8
2000,osaka,8805081,10.2
2000,saga,876654,10.0
2000,saitama,6938006,9.7
2000,shiga,1342832,10.6
2000,shimane,761503,8.6
2000,shizuoka,3767393,9.6
2000,tochigi,2004817,9.6
2000,tokushima,824108,8.8
2000,tokyo,12064101,8.5
2000,tottori,613289,9.3
2000,toyama,1120851,9.1
2000,wakayama,1069912,9.0
2000,yamagata,1244147,8.8
2000,yamaguchi,1527964,8.7
2000,yamanashi,888172,9.5
2005,aichi,7254704,9.4
2005,akita,1145501,6.7
2005,aomori,1436657,7.3
2005,chiba,6056462,8.5
2005,ehime,1467815,7.9
2005,fukui,821592,8.8
2005,fukuoka,5049908,8.7
2005,fukushima,2091319,8.4
2005,gifu,2107226,8.6
2005,gumma,2024135,8.6
2005,hiroshima,2876642,8.7
2005,hokkaido,5627737,7.4
2005,hyogo,5590601,8.6
2005,ibaraki,2975167,8.3
2005,ishikawa,1174026,8.6
2005,iwate,1385041,7.6
2005,kagawa,1012400,8.6
2005,kagoshima,1753179,8.5
2005,kanagawa,8791597,8.8
2005,kochi,796292,7.5
2005,kumamoto,1842233,8.5
2005,kyoto,2647660,8.3
2005,mie,1866963,8.4
2005,miyagi,2360218,8.2
2005,miyazaki,1153042,8.5
2005,nagano,2196114,8.6
2005,nagasaki,1478632,8.2
2005,nara,1421310,7.9
2005,niigata,2431459,7.6
2005,oita,1209571,8.1
2005,okayama,1957264,8.6
2005,okinawa,1361594,11.9
2005,osaka,8817166,8.8
2005,saga,866369,8.7
2005,saitama,7054243,8.6
2005,shiga,1380361,9.5
2005,shimane,742223,7.7
2005,shizuoka,3792377,8.6
2005,tochigi,2016631,8.7
2005,tokushima,809950,7.3
2005,tokyo,12576601,7.8
2005,tottori,607012,8.3
2005,toyama,1111729,8.1
2005,wakayama,1035969,7.6
2005,yamagata,1216181,7.7
2005,yamaguchi,1492606,7.8
2005,yamanashi,884515,8.2
2010,aichi,7410719,9.6
2010,akita,1085997,6.2
2010,aomori,1373339,7.1
2010,chiba,6216289,8.4
2010,ehime,1431493,8.0
2010,fukui,806314,8.6
2010,fukuoka,5071968,9.3
2010,fukushima,2029064,8.0
2010,gifu,2080773,8.3
2010,gumma,2008068,8.1
2010,hiroshima,2860750,9.0
2010,hokkaido,5506419,7.3
2010,hyogo,5588133,8.7
2010,ibaraki,2969770,8.2
2010,ishikawa,1169788,8.3
2010,iwate,1330147,7.4
2010,kagawa,995842,8.5
2010,kagoshima,1706242,8.9
2010,kanagawa,9048331,8.8
2010,kochi,764456,7.2
2010,kumamoto,1817426,9.0
2010,kyoto,2636092,8.2
2010,mie,1854724,8.4
2010,miyagi,2348165,8.2
2010,miyazaki,1135233,9.0
2010,nagano,2152449,8.1
2010,nagasaki,1426779,8.5
2010,nara,1400728,7.7
2010,niigata,2374450,7.7
2010,oita,1196529,8.5
2010,okayama,1945276,8.7
2010,okinawa,1392818,12.3
2010,osaka,8865245,8.6
2010,saga,849788,9.0
2010,saitama,7194556,8.4
2010,shiga,1410777,9.6
2010,shimane,717397,8.1
2010,shizuoka,3765007,8.6
2010,tochigi,2007683,8.3
2010,tokushima,785491,7.6
2010,tokyo,13159388,8.4
2010,tottori,588667,8.2
2010,toyama,1093247,7.6
2010,wakayama,1002198,7.6
2010,yamagata,1168924,7.4
2010,yamaguchi,1451338,8.0
2010,yamanashi,863075,7.8
2015,aichi,7483128,9.0
2015,akita,1023119,5.7
2015,aomori,1308265,6.6
2015,chiba,6222666,7.7
2015,ehime,1385262,7.4
2015,fukui,786740,8.0
2015,fukuoka,5101556,9.0
2015,fukushima,1914039,7.5
2015,gifu,2031903,7.7
2015,gumma,1973115,7.4
2015,hiroshima,2843990,8.4
2015,hokkaido,5381733,6.8
2015,hyogo,5534800,8.1
2015,ibaraki,2916976,7.5
2015,ishikawa,1154008,7.9
2015,iwate,1279594,6.9
2015,kagawa,976263,8.0
2015,kagoshima,1648177,8.6
2015,kanagawa,9126214,8.2
2015,kochi,728276,7.0
2015,kumamoto,1786170,8.8
2015,kyoto,2610353,7.7
2015,mie,1815865,7.8
2015,miyagi,2333899,7.8
2015,miyazaki,1104069,8.4
2015,nagano,2098804,7.5
2015,nagasaki,1377187,8.0
2015,nara,1364316,7.3
2015,niigata,2304264,7.1
2015,oita,1166338,7.9
2015,okayama,1921525,8.2
2015,okinawa,1433566,11.9
2015,osaka,8839469,8.1
2015,saga,832832,8.5
2015,saitama,7266534,7.8
2015,shiga,1412916,9.1
2015,shimane,694352,8.1
2015,shizuoka,3700305,7.8
2015,tochigi,1974255,7.9
2015,tokushima,755733,7.4
2015,tokyo,13515271,8.6
2015,tottori,573441,8.1
2015,toyama,1066328,7.2
2015,wakayama,963579,7.3
2015,yamagata,1123891,7.0
2015,yamaguchi,1404729,7.4
2015,yamanashi,834930,7.3
2020,aichi,7542415,7.6
2020,akita,959502,4.7
2020,aomori,1237984,5.5
