Date,Ken,Service,Logistic,House,Tech,Food,Enter,Edu,Health
2012,hokkaido,9894725,1765174,1243419,563003,1001065,2122795,66640,2118954
2013,hokkaido,9799127,1638708,1292099,550766,938511,1958325,71327,2363408
2014,hokkaido,10169962,1674282,1394715,619525,1003177,1868404,90831,2384922
2015,hokkaido,10757528,2031997,1375980,686358,1092400,1655196,81655,2525801
2016,hokkaido,12491839,2328421,1811985,840571,1293398,1932757,85352,2597818
2017,hokkaido,12351079,2421724,1804226,886510,1284931,1796815,85963,2624795
2012,aomori,2074075,356104,194818,124402,190149,494765,13966,422464
2013,aomori,1983353,335710,186487,128327,181310,413130,13326,484057
2014,aomori,1978953,343397,193081,139055,179557,386432,14979,511023
2015,aomori,2171691,394874,202503,168965,193045,378757,13280,568456
2016,aomori,2288370,455423,159822,137155,197052,412436,12146,610427
2017,aomori,2332761,482124,151872,136711,184621,448192,10925,616294
2012,iwate,2100180,557306,205590,122413,203179,375294,16451,429910
2013,iwate,2124036,536587,210550,126957,189403,328877,17498,511422
2014,iwate,2232592,569942,229849,135146,196294,287568,12942,619257
2015,iwate,2240121,499698,237128,122714,195697,386294,13541,589300
2016,iwate,2303425,412211,231128,141591,239637,431165,19210,607418
2017,iwate,2238403,417250,231548,141537,236709,363542,19901,607546
2012,miyagi,4766686,842060,763590,362893,542852,944563,53081,682796
2013,miyagi,4818967,836979,808879,353925,508204,841282,54516,823831
2014,miyagi,4950487,878905,833912,368157,475775,765805,59709,932108
2015,miyagi,4947685,913787,790710,397733,464338,769886,57584,892152
2016,miyagi,5187876,977629,930643,408162,480309,688939,49593,1000635
2017,miyagi,5224530,1004152,966618,391134,498280,576959,50863,1045996
2012,akita,1481025,249904,132865,73126,134567,295618,10327,421214
2013,akita,1466181,222982,124090,71669,127660,275700,11101,479089
2014,akita,1471028,243614,133748,96973,128355,241996,9702,469192
2015,akita,1477941,208546,133276,66922,138718,279015,15195,469881
2016,akita,1696514,255290,119581,76921,139077,408699,12233,534089
2017,akita,1667215,260862,116599,78529,139053,340882,12061,572171
2012,yamagata,1665502,320845,143071,95553,162366,352678,20978,387269
2013,yamagata,1684744,310278,127372,95628,167379,321206,18366,435938
2014,yamagata,1746734,304371,141151,96213,162818,322214,20176,524699
2015,yamagata,1546608,294649,136933,75024,172296,266197,18374,426058
2016,yamagata,1534778,228538,156269,85673,154952,205792,25548,488450
2017,yamagata,1571501,226471,186094,89409,155083,195622,24444,502642
2012,fukushima,3140179,399910,310583,200652,328364,864769,29334,602319
2013,fukushima,3078210,403003,328942,193952,307048,720951,25461,692461
2014,fukushima,3262763,414106,366403,249771,332806,703207,25204,744479
2015,fukushima,3544030,606992,422637,301858,324900,696128,32585,796523
2016,fukushima,3567628,627029,336082,419849,443257,482133,37061,772024
2017,fukushima,3600160,642527,306496,410418,431387,519095,31922,821252
