時点,地域,総人口,出生数,転入者数,転出者数,商業年間商品販売額,住宅数,空き家数,延べ宿泊者数,警察官数,刑法犯認知件数
1975年,長野県,2017564,,,,2609823,,,,2613,14607
1976年,長野県,2033000,,,,,,,,2648,15692
1977年,長野県,2048000,,,,,,,,2593,14472
1978年,長野県,2062000,,,,3551099,596900,47300,,2702,15888
1979年,長野県,2074000,,,,,,,,2629,16273
1980年,長野県,2083934,,,,,,,,2771,17821
1981年,長野県,2093000,,,,4905986,,,,2822,20282
1982年,長野県,2102000,,,,,,,,2828,21338
1983年,長野県,2112000,,,,,647400,72600,,2833,21478
1984年,長野県,2125000,,,,6222597,,,,2848,21523
1985年,長野県,2136927,,,,,,,,2823,22246
1986年,長野県,2143000,,,,,,,,2839,22314
1987年,長野県,2148000,,,,6781124,,,,2814,23519
1988年,長野県,2149000,,,,,697500,83000,,2849,22150
1989年,長野県,2153000,,,,,,,,2862,22243
1990年,長野県,2156627,,,,8366184,,,,2902,21931
1991年,長野県,2162000,,,,,,,,2904,22145
1992年,長野県,2169000,,,,,,,,2919,22250
1993年,長野県,2175000,,,,8051875,749900,94700,,2952,23049
1994年,長野県,2184000,,,,,,,,2941,24068
1995年,長野県,2193984,21187,,,,,,,2945,25422
1996年,長野県,2203000,21286,,,7682091,,,,3048,25682
1997年,長野県,2207000,21133,,,,,,,3059,27141
1998年,長野県,2210000,21436,,,7406358,850400,129800,,3012,28173
1999年,長野県,2210000,20765,,,,,,,3038,29252
2000年,長野県,2215168,21194,,,,,,,3039,32110
2001年,長野県,2222000,20889,,,6464420,,,,3103,34764
2002年,長野県,2215000,20324,,,,,,,3093,34054
2003年,長野県,2210000,19735,,,6062901,890800,148900,,3174,31974
2004年,長野県,2206000,19323,,,,,,,3151,29822
2005年,長野県,2196114,18517,,,,,,,3250,26753
2006年,長野県,2189000,18775,,,5832187,,,,3305,22902
2007年,長野県,2182000,18618,,,,,,10569930,3322,21422
2008年,長野県,2173000,18129,,,,946300,183000,10372690,3387,21105
2009年,長野県,2162000,17310,,,,,,9858050,3399,20164
2010年,長野県,2152449,17233,,,,,,11924880,3369,18295
2011年,長野県,2142000,16917,,,4943557,,,19375310,3412,17707
2012年,長野県,2132000,16661,,,,,,18291290,3422,15463
2013年,長野県,2122000,16326,,,4994846,982200,194000,18750560,3426,14791
2014年,長野県,2110000,15848,27627,31330,,,,17897190,3443,13206
2015年,長野県,2098804,15639,28777,32021,5846310,,,19213380,3467,11502
2016年,長野県,2091000,15171,27946,30895,,,,17804660,3480,10664
2017年,長野県,2082000,14525,28476,31006,,,,17989080,3498,9535
2018年,長野県,2073000,14184,29058,32134,5140364,1007900,197300,18324790,3506,8825
2019年,長野県,2061000,13553,28486,32792,,,,18052570,3517,8504
2020年,長野県,2048011,12864,29222,31045,,,,11242390,3517,
2021年,長野県,2033000,12512,,,,,,10563030,,
