時点,地域,総人口,出生数,転入者数,転出者数,商業年間商品販売額,住宅数,空き家数,延べ宿泊者数,警察官数,刑法犯認知件数
1975年,埼玉県,4821340,,,,4154231,,,,5405,50579
1976年,埼玉県,4964000,,,,,,,,5829,52923
1977年,埼玉県,5091000,,,,,,,,6192,48493
1978年,埼玉県,5208000,,,,5928799,1554500,118500,,6501,48805
1979年,埼玉県,5318000,,,,,,,,6804,50546
1980年,埼玉県,5420480,,,,,,,,6715,52735
1981年,埼玉県,5520000,,,,8835194,,,,6937,55778
1982年,埼玉県,5615000,,,,,,,,7160,57088
1983年,埼玉県,5700000,,,,,1754400,138900,,7299,60295
1984年,埼玉県,5784000,,,,10433348,,,,7373,63996
1985年,埼玉県,5863678,,,,,,,,7423,61329
1986年,埼玉県,5954000,,,,,,,,7413,54931
1987年,埼玉県,6071000,,,,12710247,,,,7490,64138
1988年,埼玉県,6195000,,,,,2022100,157900,,7622,80687
1989年,埼玉県,6308000,,,,,,,,7687,85831
1990年,埼玉県,6405319,,,,18070795,,,,7753,97584
1991年,埼玉県,6486000,,,,,,,,7902,106129
1992年,埼玉県,6567000,,,,,,,,7949,110017
1993年,埼玉県,6640000,,,,17667863,2333000,197900,,7998,122475
1994年,埼玉県,6703000,,,,,,,,8020,117395
1995年,埼玉県,6759311,67750,,,,,,,8070,121646
1996年,埼玉県,6804000,68695,,,17365362,,,,8302,121897
1997年,埼玉県,6841000,67585,,,,,,,8610,119319
1998年,埼玉県,6877000,67144,,,17011066,2595800,257400,,8674,131984
1999年,埼玉県,6906000,65711,,,,,,,8703,142972
2000年,埼玉県,6938006,66376,,,,,,,8794,156842
2001年,埼玉県,6977000,65417,,,15024770,,,,8796,170963
2002年,埼玉県,7000000,64762,,,,,,,9177,177762
2003年,埼玉県,7028000,63224,,,14363838,2826600,273100,,9578,179276
2004年,埼玉県,7046000,61946,,,,,,,9901,181350
2005年,埼玉県,7054243,59731,,,,,,,10210,157047
2006年,埼玉県,7079000,61201,,,15153850,,,,10557,136651
2007年,埼玉県,7106000,60818,,,,,,3166930,10691,126453
2008年,埼玉県,7136000,60520,,,,3029000,322600,3054980,10973,122108
2009年,埼玉県,7161000,59725,,,,,,2852880,11112,113632
2010年,埼玉県,7194556,59437,,,,,,3281730,11179,106228
2011年,埼玉県,7209000,58059,,,14809070,,,3566100,11262,100253
2012年,埼玉県,7216000,56943,,,,,,3736890,11265,93157
2013年,埼玉県,7228000,57470,,,14333482,3266300,355000,3974240,11229,84154
2014年,埼玉県,7247000,55765,173312,154937,,,,4109880,11358,76857
2015年,埼玉県,7266534,56078,180451,162374,18348148,,,4330720,11432,73456
2016年,埼玉県,7288000,54452,179389,157687,,,,4472830,11553,69456
2017年,埼玉県,7307000,53076,184862,162681,,,,4590130,11640,63383
2018年,埼玉県,7325000,51241,188769,164117,15412171,3384700,346200,4912890,11684,60001
2019年,埼玉県,7342000,48298,193481,166827,,,,5436560,11720,55497
2020年,埼玉県,7344765,47328,186289,162018,,,,3488850,11695,
2021年,埼玉県,7340000,45424,,,,,,3490280,,
