Date,Ken,Birth
1995,hokkaido,8.8
1996,hokkaido,8.8
1997,hokkaido,8.6
1998,hokkaido,8.6
1999,hokkaido,8.2
2000,hokkaido,8.2
2001,hokkaido,8.2
2002,hokkaido,8.2
2003,hokkaido,8
2004,hokkaido,7.8
2005,hokkaido,7.4
2006,hokkaido,7.6
2007,hokkaido,7.5
2008,hokkaido,7.4
2009,hokkaido,7.3
2010,hokkaido,7.3
2011,hokkaido,7.2
2012,hokkaido,7.1
2013,hokkaido,7.1
2014,hokkaido,6.9
2015,hokkaido,6.8
2016,hokkaido,6.6
2017,hokkaido,6.4
2018,hokkaido,6.2
2019,hokkaido,6
2020,hokkaido,5.7
2021,hokkaido,5.6
1995,aomori,9.5
1996,aomori,9.4
1997,aomori,9.2
1998,aomori,9.2
1999,aomori,8.9
2000,aomori,8.8
2001,aomori,8.8
2002,aomori,8.5
2003,aomori,8
2004,aomori,8
2005,aomori,7.3
2006,aomori,7.4
2007,aomori,7.2
2008,aomori,7.3
2009,aomori,6.9
2010,aomori,7.1
2011,aomori,7
2012,aomori,6.8
2013,aomori,6.8
2014,aomori,6.7
2015,aomori,6.6
2016,aomori,6.7
2017,aomori,6.3
2018,aomori,6.2
2019,aomori,5.8
2020,aomori,5.5
2021,aomori,5.4
1995,iwate,9.2
1996,iwate,9.1
1997,iwate,8.8
1998,iwate,9
1999,iwate,8.8
2000,iwate,8.8
2001,iwate,8.7
2002,iwate,8.5
2003,iwate,8.1
2004,iwate,8
2005,iwate,7.6
2006,iwate,7.7
2007,iwate,7.6
2008,iwate,7.6
2009,iwate,7.4
2010,iwate,7.4
2011,iwate,7.1
2012,iwate,7.1
2013,iwate,7.2
2014,iwate,6.9
2015,iwate,6.9
2016,iwate,6.6
2017,iwate,6.5
2018,iwate,6.2
2019,iwate,5.7
2020,iwate,5.6
2021,iwate,5.4
1995,miyagi,9.6
1996,miyagi,9.5
1997,miyagi,9.4
1998,miyagi,9.5
1999,miyagi,9.3
2000,miyagi,9.4
2001,miyagi,9.2
2002,miyagi,9.1
2003,miyagi,8.8
2004,miyagi,8.6
2005,miyagi,8.2
2006,miyagi,8.4
2007,miyagi,8.5
2008,miyagi,8.5
2009,miyagi,8.2
2010,miyagi,8.2
2011,miyagi,7.8
2012,miyagi,8.1
2013,miyagi,8.2
