年度,国内総生産,民間最終消費支出,政府最終消費支出,家計現実最終消費,政府現実最終消費,総固定資本形成,在庫変動,財貨・サービスの輸出,財貨・サービスの輸入
1994,511954.6,270949,76328.4,312262,35015.4,156256.6,-292.3,45159.4,36446.5
1995,525304.5,276329.8,79149.3,319168.3,36310.8,162897.1,1538.8,46887.1,41497.6
1996,538658.4,283764.2,81806.4,328722.4,36848.1,169751.6,1712.6,51374.5,49750.8
1997,542500.5,284789,83390.8,330143.8,38035.9,163732.6,3759.4,56808.4,49979.7
1998,534567.3,284704.3,84466.8,330641.5,38529.6,156021.5,-160.7,54129.4,44593.9
1999,530297.5,286638.1,86155.2,333648.9,39144.4,152863.7,-3175.9,52827,45010.6
2000,537616.2,287986.1,89491.2,337713.5,39763.9,153393.5,520.6,56468.4,50243.7
2001,527408.4,288899.5,92354.3,339780.4,41473.3,143503.4,-1149.6,53278.8,49478
2002,523466,288839.9,92662.8,339652.7,41850,136419.1,-1037.3,57879.7,51298.2
2003,526222.6,288063.8,93502.4,339254.5,42311.7,134444.3,605.5,61576.6,51970
2004,529633.6,289850.8,93952.3,341900.8,41902.3,134830.3,1573.9,68504,59077.7
2005,534109.7,293095.1,94481.5,345998.6,41578,138884.1,532.8,76745.9,69629.7
2006,537261,294637.3,94097.9,347512.4,41222.8,139848,898.5,85966.1,78186.8
2007,538484,296430.9,95581.8,350663.3,41349.4,135721.7,1916.4,94602,85768.8
2008,516174,290694.9,94893.3,345366.3,40221.8,130067.3,1465.6,80651.2,81598.3
2009,497366.8,285782.1,96075.9,341837,40021,115037,-4527.2,66348.8,61349.8
2010,504872.1,286108.6,97753.9,343708.2,40154.3,114581.3,1047.9,76081.6,70701.1
2011,500040.5,286940.1,99435.8,346278.7,40097.3,117201.5,1632.4,73252.3,78421.7
2012,499423.9,289480.4,99963.2,349922.9,39520.6,118988.8,327.2,72690.8,82026.5
2013,512685.6,298780.3,101443.1,360215.5,40007.9,128349.1,-1374.7,83015.1,97527.3
2014,523418.3,297518.1,104157.8,360751.1,40924.7,130875.1,326.4,92572.1,102031.1
2015,540739.4,299839.2,106285.5,364796.8,41327.9,134380.2,1351.7,92009.6,93126.8
2016,544827.2,298333.5,106798.1,363299,41832.5,135336.6,-71.1,89244.3,84814.3
2017,555687.4,303046,107708.6,369383.2,41371.4,139050.4,1838,98692.3,94647.9
2018,556827.9,305131,109099,372195.2,42034.8,140692.6,2303,101288,101685.7
2019,559698.8,304240.3,111714.7,372879.8,43075.2,142215.1,2037.5,95457.9,95966.7
