時点,地域,総人口,出生数,転入者数,転出者数,商業年間商品販売額,住宅数,空き家数,延べ宿泊者数,警察官数,刑法犯認知件数
1975年,群馬県,1756480,,,,2194611,,,,2284,16218
1976年,群馬県,1778000,,,,,,,,2319,16402
1977年,群馬県,1799000,,,,,,,,2359,16788
1978年,群馬県,1817000,,,,3048414,513900,34800,,2364,17404
1979年,群馬県,1833000,,,,,,,,2442,16746
1980年,群馬県,1848562,,,,,,,,2488,17938
1981年,群馬県,1864000,,,,4406021,,,,2487,17683
1982年,群馬県,1879000,,,,,,,,2496,17700
1983年,群馬県,1893000,,,,,564400,42300,,2560,17402
1984年,群馬県,1908000,,,,5149925,,,,2589,18532
1985年,群馬県,1921259,,,,,,,,2591,19573
1986年,群馬県,1931000,,,,,,,,2583,19629
1987年,群馬県,1941000,,,,5546325,,,,2604,18638
1988年,群馬県,1949000,,,,,619300,58200,,2637,19457
1989年,群馬県,1959000,,,,,,,,2661,19288
1990年,群馬県,1966265,,,,7123027,,,,2646,18892
1991年,群馬県,1974000,,,,,,,,2652,21903
1992年,群馬県,1984000,,,,,,,,2672,21633
1993年,群馬県,1990000,,,,6495029,688900,73800,,2677,23248
1994年,群馬県,1996000,,,,,,,,2677,22752
1995年,群馬県,2003540,19431,,,,,,,2673,21883
1996年,群馬県,2009000,19761,,,6403462,,,,2689,23220
1997年,群馬県,2013000,19481,,,,,,,2733,24768
1998年,群馬県,2017000,19422,,,6267695,756000,92600,,2766,29657
1999年,群馬県,2020000,19111,,,,,,,2770,29744
2000年,群馬県,2024852,19445,,,,,,,2796,28822
2001年,群馬県,2029000,19024,,,5362438,,,,2793,32544
2002年,群馬県,2030000,18763,,,,,,,2917,39803
2003年,群馬県,2030000,18337,,,6045598,798700,108900,,2994,40753
2004年,群馬県,2027000,17745,,,,,,,3100,42643
2005年,群馬県,2024135,17134,,,,,,,3158,35453
2006年,群馬県,2022000,17061,,,6830048,,,,3194,32060
2007年,群馬県,2020000,16817,,,,,,6364380,3260,27769
2008年,群馬県,2017000,17044,,,,855800,123100,6340640,3302,26730
2009年,群馬県,2014000,16310,,,,,,5892160,3334,24110
2010年,群馬県,2008068,16023,,,,,,6656040,3369,22211
2011年,群馬県,2001000,15637,,,6254480,,,8748680,3402,20981
2012年,群馬県,1994000,14914,,,,,,8385380,3387,20330
2013年,群馬県,1986000,14732,,,6155549,902900,150100,9138510,3423,18820
2014年,群馬県,1979000,14522,30664,31682,,,,8593380,3404,17782
2015年,群馬県,1973115,14256,32038,32553,7267017,,,8828080,3380,16275
2016年,群馬県,1969000,13661,31933,32947,,,,8651160,3432,14006
2017年,群馬県,1963000,13280,33182,34898,,,,8756660,3479,13105
2018年,群馬県,1957000,12922,34384,34946,5921636,949000,158300,8305480,3490,12201
2019年,群馬県,1949000,11901,33927,36135,,,,8648440,3490,11699
2020年,群馬県,1939110,11660,33369,33692,,,,5634580,3478,
2021年,群馬県,1927000,11236,,,,,,5015470,,
