time,SPI,KOSPI,STOXX,NIKKEI
1980/1/1,115.12,105.9,,
1980/2/1,113.66,103.74,,
1980/3/3,102.09,105.01,,
1980/4/1,106.29,116.1,,
1980/5/1,111.24,115.7,,
1980/6/2,114.24,112.62,,
1980/7/1,121.67,112.71,,
1980/8/1,122.38,112.02,,
1980/9/1,125.48,110.35,,
1980/10/1,127.47,105.72,,
1980/11/3,140.52,107.02,,
1980/12/1,135.76,106.87,,
1981/1/1,129.55,105.39,,
1981/2/2,131.27,103.75,,
1981/3/2,136,107.41,,
1981/4/1,132.87,122.48,,
1981/5/1,132.59,126.51,,
1981/6/1,131.21,150.85001,,
1981/7/1,130.92,148.17,,
1981/8/3,122.79,140.11,,
1981/9/1,116.18,132.39,,
1981/10/1,121.89,121.36,,
1981/11/2,126.35,132.44,,
1981/12/1,122.55,131.37,,
1982/1/1,120.4,125.68,,
1982/2/1,113.11,127.74,,
1982/3/1,111.96,127.83,,
1982/4/1,116.44,121.4,,
1982/5/3,111,114.58,,
1982/6/1,109.61,123.65,,
1982/7/1,107.09,124.83,,
1982/8/2,119.51,121.94,,
1982/9/1,120.42,119.71,,
1982/10/1,133.72,118.85,,
1982/11/1,138.53,122.42,,
1982/12/1,140.64,127.31,,
1983/1/3,145.3,118.27,,
1983/2/1,148.05,123.5,,
1983/3/1,152.96,119.8,,
1983/4/1,164.43,129.77,,
1983/5/2,162.39,125.76,,
1983/6/1,168.11,122.44,,
1983/7/1,162.56,124.98,,
1983/8/1,164.4,118.82,,
1983/9/1,166.07,117.71,,
1983/10/3,163.55,121.42,,
1983/11/1,166.39,117.63,,
1983/12/1,164.93,121.29,,
1984/1/2,163.42,124.08,,10196
1984/2/1,157.06,129.66,,10031
1984/3/1,159.18,132.11,,10929
1984/4/2,160.04,135.60001,,10981
1984/5/1,150.55,130.48,,9940
1984/6/1,153.18,132.25,,10378
1984/7/2,150.66,134.7,,9999
1984/8/1,166.68,135.34,,10584
1984/9/3,166.1,132.07001,,10649
1984/10/1,166.09,130.33,,11253
1984/11/1,163.58,135.28999,,11429
1984/12/3,167.24,142.46001,,11543
1985/1/1,179.63,138.89999,,11993
1985/2/1,181.18,134.72,,12322
1985/3/1,180.66,135.08,,12590
1985/4/1,179.83,134.14999,,12426
1985/5/1,189.57,134.09,,12790
1985/6/3,191.85,137.2,,12882
1985/7/1,190.92,137.38,,12263
1985/8/1,188.63,136.33,,12713
1985/9/2,182.08,138.91,,12700
1985/10/1,189.82,140.89,,12939
1985/11/1,202.17,148.84,,12763
1985/12/2,211.28,163.37,,13083
1986/1/1,211.78,160.42,,13024
1986/2/3,226.92,175.91,,13641
1986/3/3,238.9,199.75999,,15860
1986/4/1,235.52,202.91,,15826
1986/5/1,247.35,229.47,,16739
1986/6/2,250.84,243.36,,17654
1986/7/1,236.12,273.75,,17510
1986/8/1,252.93,264.78,,18821
1986/9/1,231.32,253.45,,17853
1986/10/1,243.98,240.78999,,16911
1986/11/3,249.22,266.5,,18083
1986/12/1,242.16,272.60999,,18821
1987/1/1,274.08,306.01999,,20048
1987/2/2,284.2,332.57999,,20422
1987/3/2,291.7,405.13,,21567
1987/4/1,288.35,358.63,,23275
1987/5/1,290.1,384.19,,24772
1987/6/1,304,411.76001,,24176
1987/7/1,318.66,485.48001,,24488
1987/8/3,329.79,474.01001,,26029
1987/9/1,321.83,485.35001,,26011
1987/10/1,251.79,504.95999,,22765
1987/11/2,230.31,475.59,,22687
1987/12/1,247.09,517.98999,,21564
1988/1/1,257.07,642.10999,,23622
1988/2/1,267.82,612.34998,,25243
1988/3/1,258.89,656.46997,,26260
1988/4/1,261.33,649.88,,27434
1988/5/2,262.14,717.34003,,27416
1988/6/1,273.5,702.83002,,27769
1988/7/1,272.01,717.08002,,27912
1988/8/1,261.52,664.42999,,27366
1988/9/1,271.91,677.53998,,27924
1988/10/3,278.97,729.78998,,27983
1988/11/1,273.69,831.12,,29579
1988/12/1,277.72,907.19,,30159
1989/1/2,297.48,884.28998,,31581
1989/2/1,288.86,917.90002,,31986
1989/3/1,294.87,1003.31,,32839
1989/4/3,309.64,935.46002,,33713
1989/5/1,320.52,932.76001,,34267
1989/6/1,317.98,854.60999,,32949
1989/7/3,346.08,895.65997,,34954
1989/8/1,351.45,975.28998,,34431
1989/9/1,349.15,943.44,,35637
1989/10/2,340.36,894.02002,,35549
1989/11/1,345.99,906.33002,,37269
1989/12/1,353.4,909.71997,,38916
1990/1/1,329.08,896.15997,,37189
1990/2/1,331.89,861.59003,,34592
1990/3/1,339.94,845.97998,,29980
1990/4/2,330.8,688.65997,,29585
1990/5/1,361.23,797.95001,,33131
1990/6/1,358.02,720,,31940
1990/7/2,356.15,678.38,,31036
1990/8/1,322.56,606.87,,25978
1990/9/3,306.05,597.66998,,20983
1990/10/1,304,690.15997,,25194
1990/11/1,322.22,697.03003,,22454
1990/12/3,330.22,696.10999,,23848
1991/1/1,343.93,635.40002,,23293
1991/2/1,367.07,675.57001,,26409
1991/3/1,375.22,648.84003,,26206
1991/4/1,375.35,645.60999,,26111
1991/5/1,389.83,611.34998,,25789
1991/6/3,371.16,602.59998,,23290
1991/7/1,387.81,717.03003,,24120
1991/8/1,395.43,686.21002,,22335
1991/9/2,387.86,705.07001,,23916
1991/10/1,392.46,695.94,,25222
1991/11/1,375.22,652.46997,,22687
1991/12/2,417.09,610.91998,,22983
1992/1/1,408.79,680.51001,,22023
1992/2/3,412.7,614.98999,,21338
1992/3/2,403.69,606.32001,,19345
1992/4/1,414.95,615.96997,,17390
1992/5/1,415.35,570.92999,,18347
1992/6/1,408.14,552.03003,,15951
1992/7/1,424.22,509.95001,,15910
1992/8/3,414.03,562.79999,,18061
1992/9/1,417.8,513.82001,,17399
1992/10/1,418.68,610.09003,,16767
1992/11/2,431.35,650.84998,,17684
1992/12/1,435.71,678.44,,16925
1993/1/1,438.78,679.96002,,17024
1993/2/1,443.38,644.70001,,16953
1993/3/1,451.67,666.75,,18591
1993/4/1,440.19,721.57001,,20919
1993/5/3,450.21,752.31,,20552
1993/6/1,450.53,748.87,,19590
1993/7/1,448.13,730.5,,20380
1993/8/2,463.56,664.88,,21027
1993/9/1,458.93,718.87,,20106
1993/10/1,467.83,742.71997,,19703
1993/11/1,461.79,811.06,,16407
1993/12/1,466.45,866.17999,,17417
1994/1/3,481.61,945.71002,,20229
1994/2/1,467.14,918.88,,19997
1994/3/1,445.76,867.21997,,19111
1994/4/1,450.91,900.14001,,19725
1994/5/2,456.51,939.48999,,20974
1994/6/1,444.27,933.35999,,20644
1994/7/1,458.25,933.65997,,20449
1994/8/1,475.5,944.22998,,20628
1994/9/1,462.71,1050.51,,19564
1994/10/3,472.35,1105.62,,19990
1994/11/1,453.69,1074.41,,19076
1994/12/1,461.17,1027.37,,19723
1995/1/2,470.42,907.04999,,18650
1995/2/1,487.39,885.69,,17053
1995/3/1,500.71,931.78003,,16139
1995/4/3,514.71,896.84003,,16806
1995/5/1,533.4,882.5,,15436
1995/6/1,544.75,894.40997,,14517
1995/7/3,562.06,933.57001,,16677
1995/8/1,561.88,914.06,,18117
1995/9/1,584.41,987.09998,,17913
1995/10/2,581.5,990.26001,,17654
1995/11/1,605.37,930.91998,,18744
1995/12/1,615.93,882.94,,19868
1996/1/1,636.02,878.82001,,20812
1996/2/1,640.43,852.83002,,20125
1996/3/1,645.5,866.76001,,21406
1996/4/1,654.17,980.90002,,22041
1996/5/1,669.12,903.09003,,21956
1996/6/3,670.63,823.53003,,22530
1996/7/1,639.95,821.71002,,20692
1996/8/1,651.99,782.87,,20166
1996/9/2,687.33,789.66998,,21556
1996/10/1,705.27,757.59003,,20466
1996/11/1,757.02,733.5,,21020
1996/12/2,740.74,651.21997,,19291
1997/1/1,786.16,685.84003,,18330
1997/2/3,790.82,676.53003,,18557
1997/3/3,757.12,677.34003,,18003
1997/4/1,801.34,703.22998,,19151
1997/5/1,848.28,746.35999,,20068
1997/6/2,885.14,745.40002,,20604
1997/7/1,954.31,726.12,,20331
1997/8/1,899.47,704.27002,,18229
1997/9/1,947.28,647.10999,,17887
1997/10/1,914.62,470.79001,,16458
1997/11/3,955.4,411.91,,16636
1997/12/1,970.43,375.14999,,15258
1998/1/1,980.28,558.33002,,16628
1998/2/2,1049.34,548.41998,,16831
1998/3/2,1101.75,481.04001,,16263
1998/4/1,1111.77,421.22,,15641
1998/5/1,1090.82,336.63,,15670
1998/6/1,1133.84,297.88,,15830
1998/7/1,1120.67,343.32999,,16378
1998/8/3,957.53,310.16,,14107
1998/9/1,1017.05,310.32001,,13406
1998/10/1,1098.67,389.06,,13564
1998/11/2,1163.63,451.88,,14883
1998/12/1,1229.23,562.46002,,13842
1999/1/1,1279.64,570.53003,,14499
1999/2/1,1238.33,520.06,,14367
1999/3/1,1286.42,618.97998,,15836
1999/4/1,1335.18,752.59003,,16701
1999/5/3,1301.84,736.02002,,16111
1999/6/1,1372.66,883,,17529
1999/7/1,1328.72,969.71997,,17861
1999/8/2,1320.41,937.88,,17436
1999/9/1,1282.71,836.17999,,17605
1999/10/1,1362.93,833.51001,,17942
1999/11/1,1388.95,996.65997,,18558
1999/12/1,1469.25,1028.0699,,18934
2000/1/3,1394.46,943.88,,19539
2000/2/1,1359.78,829.09998,,19960
2000/3/1,1498.58,860.94,,20337
2000/4/3,1456.04,725.39001,,17973
2000/5/1,1420.65,731.88,,16332
2000/6/1,1454.6,821.21997,,17411
2000/7/3,1430.84,705.96997,,15727
2000/8/1,1517.59,688.62,,16861
2000/9/1,1436.48,613.21997,,15747
2000/10/2,1429.39,514.47998,,14539
2000/11/1,1314.95,509.23001,,14648
2000/12/1,1320.5,504.57999,,13786
2001/1/2,1366.01,617.90997,,13844
2001/2/1,1239.94,578.09998,,12884
2001/3/1,1160.34,523.21997,,13000
2001/4/2,1249.48,577.35999,,14206.03
2001/5/1,1255.84,628.41998,,13493.35
2001/6/1,1226.99,595.13,,12969.05
2001/7/2,1211.22,541.54999,,11861
2001/8/1,1133.58,545.10999,,10713.51
2001/9/4,1040.9,479.67999,,9774.6797
2001/10/1,1059.78,537.81,,10366.34
2001/11/1,1139.45,643.89001,,10697.44
2001/12/3,1148.16,693.70001,298.73001,10542.62
2002/1/2,1130.18,748.07001,292.32999,9997.7998
2002/2/1,1106.74,819.98999,289.95999,10587.83
2002/3/1,1147.39,895.58002,302.88,11039.69
2002/4/1,1076.87,842.34003,290.51001,11497
2002/5/1,1067.18,796.40002,279.03,11822.96
2002/6/3,989.44,742.71997,254.03999,10518.27
2002/7/1,911.62,717.98999,227.63,9865.9805
2002/8/1,916.08,736.40002,226.82001,9662.7402
2002/9/3,815.26,646.41998,194.75999,9395.7998
2002/10/1,885.76,658.91998,213.00999,8640.4805
2002/11/1,936.31,724.79999,222.47,9215.5596
2002/12/2,879.82,627.54999,201.74001,8578.9502
2003/1/2,855.7,591.85999,189,8339.9404
2003/2/3,841.15,575.42999,181.75,8363.04
2003/3/3,848.12,535.70001,176.41,8160.29
2003/4/1,916.92,599.34998,194.88,7807.02
2003/5/1,963.59,633.41998,196.53999,8445.7305
2003/6/2,974.5,669.92999,202.94,9278.4902
2003/7/1,990.31,713.52002,211.11,9611.6699
2003/8/1,1008.03,759.46997,214.7,10344
2003/9/2,995.95,697.52002,210.32001,10361.24
2003/10/1,1050.71,782.35999,221.53,10559.58984
2003/11/3,1058.2,796.17999,223.3,10101
2003/12/1,1111.92,810.71002,228.47,10676.64
2004/1/2,1131.13,848.5,235.81,10784
2004/2/2,1144.94,883.41998,242.59,11041.92
2004/3/1,1126.21,880.5,236.59,11715.39
2004/4/1,1107.24,862.84003,239.05,11761.79
2004/5/3,1120.64,803.84003,237.28999,11236.37
2004/6/1,1140.75,785.78998,240.86,11858.87
2004/7/1,1101.72,735.34003,236.39999,11325.78
2004/8/2,1104.24,803.57001,233.63,11081.79
2004/9/1,1114.58,835.09003,237.74001,10823.57
2004/10/1,1130.2,834.84003,240.32001,10771.42
2004/11/1,1173.82,878.06,246.50999,10899.25
2004/12/1,1211.92,895.91998,251,11488.76
2005/1/3,1181.27,932.70001,256.85001,11387.59
2005/2/1,1210.41,1011.36,264.29001,11740.6
2005/3/1,1180.59,965.67999,262.19,11668.95
2005/4/1,1156.85,911.29999,256.06,11008.9
2005/5/2,1191.5,970.21002,267.29001,11276.59
2005/6/1,1191.33,1008.16,275.92001,11584.01
2005/7/1,1234.18,1111.29,285.03,11899.6
2005/8/1,1220.33,1083.33,284.82001,12413.6
2005/9/1,1228.81,1221.01,297.39999,13574.3
2005/10/3,1207.01,1158.11,290.28,13606.5
2005/11/1,1249.48,1297.4399,299.48001,14872.15
2005/12/1,1248.29,1379.37,310.04001,16111.43
2006/1/3,1280.08,1399.83,321.03,16649.82
2006/2/1,1280.66,1371.59,327.88,16205.43
2006/3/1,1294.82,1359.6,334.44,17059.66
2006/4/3,1310.61,1419.73,336.48001,16906.23
