pref,region,population_man,area_km2,life_expectancy,ramen_per_100k,starbucks_count,avg_income_man
北海道,北海道,510,83424,81.7,32,60,270
青森県,東北,119,9646,80.6,40,11,240
岩手県,東北,117,15275,81.2,38,10,285
宮城県,東北,226,7282,82.1,30,32,290
秋田県,東北,92,11638,81.0,41,7,240
山形県,東北,102,9323,82.2,60,8,270
福島県,東北,175,13784,81.4,42,16,295
茨城県,関東,282,6097,81.7,21,27,320
栃木県,関東,191,6408,81.5,45,22,360
群馬県,関東,190,6362,82.0,34,21,310
埼玉県,関東,735,3798,82.4,19,90,300
千葉県,関東,627,5158,82.2,20,80,300
東京都,関東,1410,2194,82.5,22,410,590
神奈川県,関東,924,2416,82.7,20,145,320
新潟県,中部,211,12584,82.4,47,28,290
富山県,中部,100,4248,82.5,33,13,320
石川県,中部,110,4186,82.7,24,17,295
福井県,中部,75,4191,83.0,22,10,300
山梨県,中部,79,4465,82.5,26,11,295
長野県,中部,200,13562,83.4,28,23,290
岐阜県,中部,192,10621,82.5,28,22,295
静岡県,中部,357,7777,82.6,18,40,320
愛知県,中部,750,5173,82.6,18,105,380
三重県,近畿,172,5774,82.4,17,22,320
滋賀県,近畿,140,4017,83.0,15,20,330
京都府,近畿,250,4612,82.8,22,50,310
大阪府,近畿,877,1905,81.9,19,130,320
兵庫県,近畿,538,8401,82.7,18,75,305
奈良県,近畿,130,3691,82.8,16,17,270
和歌山県,近畿,89,4725,81.7,27,9,290
鳥取県,中国,54,3507,82.3,23,5,245
島根県,中国,65,6708,82.6,21,6,280
岡山県,中国,184,7115,82.7,20,25,290
広島県,中国,274,8479,82.5,27,35,320
山口県,中国,130,6113,82.0,23,15,310
徳島県,四国,70,4147,82.0,28,6,300
香川県,四国,93,1877,82.3,25,12,285
愛媛県,四国,130,5676,82.0,25,14,250
高知県,四国,67,7104,81.8,26,7,240
福岡県,九州沖縄,510,4987,82.3,22,70,280
佐賀県,九州沖縄,80,2441,82.5,17,7,270
長崎県,九州沖縄,128,4131,82.0,17,12,245
熊本県,九州沖縄,171,7409,82.7,32,22,265
大分県,九州沖縄,110,6341,82.3,17,12,265
宮崎県,九州沖縄,105,7735,82.4,22,8,235
鹿児島県,九州沖縄,154,9187,82.0,35,18,240
沖縄県,九州沖縄,147,2282,83.5,14,18,235
